resource_id,resource_name,timestamp,current_occupancy,max_capacity,occupancy_pct,status_bucket
RES001,Main Library,2023-09-01T00:00:00,19,300,6.3,empty
RES001,Main Library,2023-09-01T00:15:00,22,300,7.3,empty
RES001,Main Library,2023-09-01T00:30:00,28,300,9.3,empty
RES001,Main Library,2023-09-01T00:45:00,0,300,0.0,empty
RES001,Main Library,2023-09-01T01:00:00,0,300,0.0,empty
RES001,Main Library,2023-09-01T01:15:00,0,300,0.0,empty
RES001,Main Library,2023-09-01T01:30:00,26,300,8.7,empty
RES001,Main Library,2023-09-01T01:45:00,0,300,0.0,empty
RES001,Main Library,2023-09-01T02:00:00,25,300,8.3,empty
RES001,Main Library,2023-09-01T02:15:00,19,300,6.3,empty
RES001,Main Library,2023-09-01T02:30:00,17,300,5.7,empty
RES001,Main Library,2023-09-01T02:45:00,24,300,8.0,empty
RES001,Main Library,2023-09-01T03:00:00,49,300,16.3,empty
RES001,Main Library,2023-09-01T03:15:00,8,300,2.7,empty
RES001,Main Library,2023-09-01T03:30:00,0,300,0.0,empty
RES001,Main Library,2023-09-01T03:45:00,4,300,1.3,empty
RES001,Main Library,2023-09-01T04:00:00,51,300,17.0,empty
RES001,Main Library,2023-09-01T04:15:00,8,300,2.7,empty
RES001,Main Library,2023-09-01T04:30:00,36,300,12.0,empty
RES001,Main Library,2023-09-01T04:45:00,29,300,9.7,empty
RES001,Main Library,2023-09-01T05:00:00,50,300,16.7,empty
RES001,Main Library,2023-09-01T05:15:00,23,300,7.7,empty
RES001,Main Library,2023-09-01T05:30:00,0,300,0.0,empty
RES001,Main Library,2023-09-01T05:45:00,20,300,6.7,empty
RES001,Main Library,2023-09-01T06:00:00,36,300,12.0,empty
RES001,Main Library,2023-09-01T06:15:00,22,300,7.3,empty
RES001,Main Library,2023-09-01T06:30:00,16,300,5.3,empty
RES001,Main Library,2023-09-01T06:45:00,49,300,16.3,empty
RES001,Main Library,2023-09-01T07:00:00,22,300,7.3,empty
RES001,Main Library,2023-09-01T07:15:00,22,300,7.3,empty
RES001,Main Library,2023-09-01T07:30:00,49,300,16.3,empty
RES001,Main Library,2023-09-01T07:45:00,0,300,0.0,empty
RES001,Main Library,2023-09-01T08:00:00,37,300,12.3,empty
RES001,Main Library,2023-09-01T08:15:00,82,300,27.3,low
RES001,Main Library,2023-09-01T08:30:00,91,300,30.3,low
RES001,Main Library,2023-09-01T08:45:00,97,300,32.3,low
RES001,Main Library,2023-09-01T09:00:00,63,300,21.0,low
RES001,Main Library,2023-09-01T09:15:00,144,300,48.0,moderate
RES001,Main Library,2023-09-01T09:30:00,88,300,29.3,low
RES001,Main Library,2023-09-01T09:45:00,124,300,41.3,moderate
RES001,Main Library,2023-09-01T10:00:00,137,300,45.7,moderate
RES001,Main Library,2023-09-01T10:15:00,114,300,38.0,low
RES001,Main Library,2023-09-01T10:30:00,177,300,59.0,moderate
RES001,Main Library,2023-09-01T10:45:00,134,300,44.7,moderate
RES001,Main Library,2023-09-01T11:00:00,123,300,41.0,moderate
RES001,Main Library,2023-09-01T11:15:00,191,300,63.7,moderate
RES001,Main Library,2023-09-01T11:30:00,179,300,59.7,moderate
RES001,Main Library,2023-09-01T11:45:00,195,300,65.0,high
RES001,Main Library,2023-09-01T12:00:00,160,300,53.3,moderate
RES001,Main Library,2023-09-01T12:15:00,153,300,51.0,moderate
RES001,Main Library,2023-09-01T12:30:00,168,300,56.0,moderate
RES001,Main Library,2023-09-01T12:45:00,165,300,55.0,moderate
RES001,Main Library,2023-09-01T13:00:00,129,300,43.0,moderate
RES001,Main Library,2023-09-01T13:15:00,177,300,59.0,moderate
RES001,Main Library,2023-09-01T13:30:00,169,300,56.3,moderate
RES001,Main Library,2023-09-01T13:45:00,149,300,49.7,moderate
RES001,Main Library,2023-09-01T14:00:00,182,300,60.7,moderate
RES001,Main Library,2023-09-01T14:15:00,175,300,58.3,moderate
RES001,Main Library,2023-09-01T14:30:00,190,300,63.3,moderate
RES001,Main Library,2023-09-01T14:45:00,217,300,72.3,high
RES001,Main Library,2023-09-01T15:00:00,200,300,66.7,high
RES001,Main Library,2023-09-01T15:15:00,239,300,79.7,high
RES001,Main Library,2023-09-01T15:30:00,199,300,66.3,high
RES001,Main Library,2023-09-01T15:45:00,161,300,53.7,moderate
RES001,Main Library,2023-09-01T16:00:00,187,300,62.3,moderate
RES001,Main Library,2023-09-01T16:15:00,223,300,74.3,high
RES001,Main Library,2023-09-01T16:30:00,279,300,93.0,full
RES001,Main Library,2023-09-01T16:45:00,243,300,81.0,high
RES001,Main Library,2023-09-01T17:00:00,175,300,58.3,moderate
RES001,Main Library,2023-09-01T17:15:00,173,300,57.7,moderate
RES001,Main Library,2023-09-01T17:30:00,159,300,53.0,moderate
RES001,Main Library,2023-09-01T17:45:00,205,300,68.3,high
RES001,Main Library,2023-09-01T18:00:00,191,300,63.7,moderate
RES001,Main Library,2023-09-01T18:15:00,188,300,62.7,moderate
RES001,Main Library,2023-09-01T18:30:00,203,300,67.7,high
RES001,Main Library,2023-09-01T18:45:00,197,300,65.7,high
RES001,Main Library,2023-09-01T19:00:00,194,300,64.7,moderate
RES001,Main Library,2023-09-01T19:15:00,196,300,65.3,high
RES001,Main Library,2023-09-01T19:30:00,181,300,60.3,moderate
RES001,Main Library,2023-09-01T19:45:00,242,300,80.7,high
RES001,Main Library,2023-09-01T20:00:00,194,300,64.7,moderate
RES001,Main Library,2023-09-01T20:15:00,244,300,81.3,high
RES001,Main Library,2023-09-01T20:30:00,179,300,59.7,moderate
RES001,Main Library,2023-09-01T20:45:00,276,300,92.0,full
RES001,Main Library,2023-09-01T21:00:00,247,300,82.3,high
RES001,Main Library,2023-09-01T21:15:00,242,300,80.7,high
RES001,Main Library,2023-09-01T21:30:00,184,300,61.3,moderate
RES001,Main Library,2023-09-01T21:45:00,118,300,39.3,low
RES001,Main Library,2023-09-01T22:00:00,154,300,51.3,moderate
RES001,Main Library,2023-09-01T22:15:00,127,300,42.3,moderate
RES001,Main Library,2023-09-01T22:30:00,160,300,53.3,moderate
RES001,Main Library,2023-09-01T22:45:00,89,300,29.7,low
RES001,Main Library,2023-09-01T23:00:00,111,300,37.0,low
RES001,Main Library,2023-09-01T23:15:00,47,300,15.7,empty
RES001,Main Library,2023-09-01T23:30:00,40,300,13.3,empty
RES001,Main Library,2023-09-01T23:45:00,28,300,9.3,empty
RES002,Science Library,2023-09-01T00:00:00,0,120,0.0,empty
RES002,Science Library,2023-09-01T00:15:00,3,120,2.5,empty
RES002,Science Library,2023-09-01T00:30:00,2,120,1.7,empty
RES002,Science Library,2023-09-01T00:45:00,4,120,3.3,empty
RES002,Science Library,2023-09-01T01:00:00,3,120,2.5,empty
RES002,Science Library,2023-09-01T01:15:00,7,120,5.8,empty
RES002,Science Library,2023-09-01T01:30:00,1,120,0.8,empty
RES002,Science Library,2023-09-01T01:45:00,15,120,12.5,empty
RES002,Science Library,2023-09-01T02:00:00,0,120,0.0,empty
RES002,Science Library,2023-09-01T02:15:00,1,120,0.8,empty
RES002,Science Library,2023-09-01T02:30:00,6,120,5.0,empty
RES002,Science Library,2023-09-01T02:45:00,0,120,0.0,empty
RES002,Science Library,2023-09-01T03:00:00,2,120,1.7,empty
RES002,Science Library,2023-09-01T03:15:00,5,120,4.2,empty
RES002,Science Library,2023-09-01T03:30:00,2,120,1.7,empty
RES002,Science Library,2023-09-01T03:45:00,9,120,7.5,empty
RES002,Science Library,2023-09-01T04:00:00,11,120,9.2,empty
RES002,Science Library,2023-09-01T04:15:00,0,120,0.0,empty
RES002,Science Library,2023-09-01T04:30:00,0,120,0.0,empty
RES002,Science Library,2023-09-01T04:45:00,0,120,0.0,empty
RES002,Science Library,2023-09-01T05:00:00,5,120,4.2,empty
RES002,Science Library,2023-09-01T05:15:00,18,120,15.0,empty
RES002,Science Library,2023-09-01T05:30:00,7,120,5.8,empty
RES002,Science Library,2023-09-01T05:45:00,10,120,8.3,empty
RES002,Science Library,2023-09-01T06:00:00,2,120,1.7,empty
RES002,Science Library,2023-09-01T06:15:00,22,120,18.3,empty
RES002,Science Library,2023-09-01T06:30:00,11,120,9.2,empty
RES002,Science Library,2023-09-01T06:45:00,2,120,1.7,empty
RES002,Science Library,2023-09-01T07:00:00,0,120,0.0,empty
RES002,Science Library,2023-09-01T07:15:00,11,120,9.2,empty
RES002,Science Library,2023-09-01T07:30:00,0,120,0.0,empty
RES002,Science Library,2023-09-01T07:45:00,0,120,0.0,empty
RES002,Science Library,2023-09-01T08:00:00,37,120,30.8,low
RES002,Science Library,2023-09-01T08:15:00,20,120,16.7,empty
RES002,Science Library,2023-09-01T08:30:00,28,120,23.3,low
RES002,Science Library,2023-09-01T08:45:00,22,120,18.3,empty
RES002,Science Library,2023-09-01T09:00:00,39,120,32.5,low
RES002,Science Library,2023-09-01T09:15:00,37,120,30.8,low
RES002,Science Library,2023-09-01T09:30:00,49,120,40.8,moderate
RES002,Science Library,2023-09-01T09:45:00,36,120,30.0,low
RES002,Science Library,2023-09-01T10:00:00,42,120,35.0,low
RES002,Science Library,2023-09-01T10:15:00,62,120,51.7,moderate
RES002,Science Library,2023-09-01T10:30:00,46,120,38.3,low
RES002,Science Library,2023-09-01T10:45:00,46,120,38.3,low
RES002,Science Library,2023-09-01T11:00:00,59,120,49.2,moderate
RES002,Science Library,2023-09-01T11:15:00,76,120,63.3,moderate
RES002,Science Library,2023-09-01T11:30:00,73,120,60.8,moderate
RES002,Science Library,2023-09-01T11:45:00,72,120,60.0,moderate
RES002,Science Library,2023-09-01T12:00:00,63,120,52.5,moderate
RES002,Science Library,2023-09-01T12:15:00,53,120,44.2,moderate
RES002,Science Library,2023-09-01T12:30:00,66,120,55.0,moderate
RES002,Science Library,2023-09-01T12:45:00,62,120,51.7,moderate
RES002,Science Library,2023-09-01T13:00:00,52,120,43.3,moderate
RES002,Science Library,2023-09-01T13:15:00,51,120,42.5,moderate
RES002,Science Library,2023-09-01T13:30:00,59,120,49.2,moderate
RES002,Science Library,2023-09-01T13:45:00,67,120,55.8,moderate
RES002,Science Library,2023-09-01T14:00:00,69,120,57.5,moderate
RES002,Science Library,2023-09-01T14:15:00,71,120,59.2,moderate
RES002,Science Library,2023-09-01T14:30:00,83,120,69.2,high
RES002,Science Library,2023-09-01T14:45:00,70,120,58.3,moderate
RES002,Science Library,2023-09-01T15:00:00,71,120,59.2,moderate
RES002,Science Library,2023-09-01T15:15:00,78,120,65.0,high
RES002,Science Library,2023-09-01T15:30:00,77,120,64.2,moderate
RES002,Science Library,2023-09-01T15:45:00,103,120,85.8,full
RES002,Science Library,2023-09-01T16:00:00,86,120,71.7,high
RES002,Science Library,2023-09-01T16:15:00,87,120,72.5,high
RES002,Science Library,2023-09-01T16:30:00,101,120,84.2,high
RES002,Science Library,2023-09-01T16:45:00,99,120,82.5,high
RES002,Science Library,2023-09-01T17:00:00,71,120,59.2,moderate
RES002,Science Library,2023-09-01T17:15:00,62,120,51.7,moderate
RES002,Science Library,2023-09-01T17:30:00,69,120,57.5,moderate
RES002,Science Library,2023-09-01T17:45:00,71,120,59.2,moderate
RES002,Science Library,2023-09-01T18:00:00,63,120,52.5,moderate
RES002,Science Library,2023-09-01T18:15:00,77,120,64.2,moderate
RES002,Science Library,2023-09-01T18:30:00,80,120,66.7,high
RES002,Science Library,2023-09-01T18:45:00,60,120,50.0,moderate
RES002,Science Library,2023-09-01T19:00:00,72,120,60.0,moderate
RES002,Science Library,2023-09-01T19:15:00,84,120,70.0,high
RES002,Science Library,2023-09-01T19:30:00,85,120,70.8,high
RES002,Science Library,2023-09-01T19:45:00,78,120,65.0,high
RES002,Science Library,2023-09-01T20:00:00,97,120,80.8,high
RES002,Science Library,2023-09-01T20:15:00,85,120,70.8,high
RES002,Science Library,2023-09-01T20:30:00,97,120,80.8,high
RES002,Science Library,2023-09-01T20:45:00,117,120,97.5,overflow
RES002,Science Library,2023-09-01T21:00:00,99,120,82.5,high
RES002,Science Library,2023-09-01T21:15:00,90,120,75.0,high
RES002,Science Library,2023-09-01T21:30:00,74,120,61.7,moderate
